2023-05-16 17:10:46,222:ERROR:  Scenario: Is off category 404?                 |   CATEGORY IS NOT 404 - SITE STATUS IS: <Response [200]>
2023-05-16 17:10:58,465:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error@gmail.com
2023-05-16 17:11:06,414:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error
2023-05-16 17:16:32,646:ERROR:  Scenario: Is off category 404?                 |   CATEGORY IS NOT 404 - SITE STATUS IS: <Response [200]>
2023-05-16 17:16:44,911:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error@gmail.com
2023-05-16 17:16:52,317:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error
2023-05-16 17:22:40,100:ERROR:  Scenario: Is off category 404?                 |   CATEGORY IS NOT 404 - SITE STATUS IS: <Response [200]>
2023-05-16 17:22:52,715:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error@gmail.com
2023-05-16 17:23:00,278:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error
2023-05-16 17:23:51,966:ERROR:  Scenario: Is homepage 200?                     |   SITE NOT FOUND
2023-05-16 17:23:56,282:ERROR:  Scenario: Is homepage 200?                     |   SITE NOT FOUND
2023-05-16 17:24:00,899:ERROR:  Scenario: Is off category 404?                 |   SITE NOT FOUND
2023-05-16 17:26:44,020:ERROR:  Scenario: Does enabled category return items?  |   NO ITEMS AND CATEGORY SITE HAVE STATUS: <Response [200]>
2023-05-16 17:27:09,753:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error@gmail.com
2023-05-16 17:27:17,266:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error
2023-05-16 17:28:18,839:ERROR:  Scenario: Does enabled category return items?  |   NO ITEMS AND CATEGORY SITE HAVE STATUS: <Response [200]>
2023-05-16 17:29:04,624:ERROR:  Scenario: Does enabled category return items?  |   NO ITEMS AND CATEGORY SITE HAVE STATUS: <Response [200]>
2023-05-16 17:29:30,539:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error@gmail.com
2023-05-16 17:29:37,806:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error
2023-05-17 10:20:34,285:ERROR:  Scenario: Does enabled category return items?  |   CATEGORY SITE IS 404
2023-05-17 10:22:43,178:ERROR:  Scenario: Is homepage 200?                     |   SITE NOT FOUND
2023-05-17 10:30:15,577:ERROR:  Scenario: Is off category 404?                 |   SITE NOT FOUND
2023-05-17 10:34:45,760:ERROR:  Scenario: Is off category 404?                 |   SITE NOT FOUND
2023-05-17 10:34:47,516:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:34:50,515:ERROR:  Scenario: Is off category 404?                 |   SITE NOT FOUND
2023-05-17 10:34:52,184:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:34:55,228:ERROR:  Scenario: Is off category 404?                 |   SITE NOT FOUND

2023-05-17 10:38:03,677:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:39:09,929:ERROR:  Scenario: Is homepage 200?                     |   SITE NOT FOUND
2023-05-17 10:42:38,809:ERROR:  Scenario: Signin with various logins           |   SITE NOT FOUND

2023-07-06 13:36:31,238:ERROR:  Scenario: Filtering returns right items        |   SITE NOT FOUND
2023-07-06 13:36:42,314:ERROR:  Scenario: Filtering returns right items        |   SITE NOT FOUND
2023-07-06 13:37:22,444:ERROR:  Scenario: Filtering returns right items        |   SITE NOT FOUND
